symbol,rebalance_date,horizon,horizon_days,current_price,p10,p25,median,p75,p90,realized,mu,sigma,kappa,half_life,trend_ann
JPM,2022-12-08,1mo,21,122.23209381103516,108.97989173010227,114.59863978111818,121.42264686939222,128.77443429813206,135.1231232368043,128.4355010986328,-0.1590799353440957,0.29802733470690296,0.009472936009431783,73.1713145607454,-0.3804391887744829
JPM,2022-12-08,3mo,63,122.23209381103516,98.04455331382258,107.76486281173975,118.7642607593449,132.13016986860902,144.99251183129712,121.62451934814453,-0.1590799353440957,0.29802733470690296,0.009472936009431783,73.1713145607454,-0.3804391887744829
JPM,2022-12-08,6mo,126,122.23209381103516,87.99949865298512,100.28499393325532,116.81022069319383,134.28941721038396,153.9322364339419,131.68492126464844,-0.1590799353440957,0.29802733470690296,0.009472936009431783,73.1713145607454,-0.3804391887744829
JPM,2022-12-08,1yr,252,122.23209381103516,73.84435599681784,88.6244542699415,110.7717108578808,137.3285997434581,162.97799263677115,150.7135467529297,-0.1590799353440957,0.29802733470690296,0.009472936009431783,73.1713145607454,-0.3804391887744829
JPM,2023-01-10,1mo,21,128.4355010986328,114.09510811763133,120.3929681509841,127.16337775917403,135.3945426710535,142.22987828028198,130.1220245361328,-0.15490088999431872,0.2946569396807642,0.009365212038638458,74.0129724452792,-0.3764668757364937
JPM,2023-01-10,3mo,63,128.4355010986328,102.6137268024115,113.21232954095083,125.84855598526995,138.7653751639857,151.5582104393124,120.01070404052734,-0.15490088999431872,0.2946569396807642,0.009365212038638458,74.0129724452792,-0.3764668757364937
JPM,2023-01-10,6mo,126,128.4355010986328,93.2921041396801,106.5726262803764,122.44457918916514,141.57965401467652,161.65043158915915,139.9898223876953,-0.15490088999431872,0.2946569396807642,0.009365212038638458,74.0129724452792,-0.3764668757364937
JPM,2023-01-10,1yr,252,128.4355010986328,78.27409893616286,94.84815020917046,116.27628753394934,143.365076599457,172.25792706062623,162.3179168701172,-0.15490088999431872,0.2946569396807642,0.009365212038638458,74.0129724452792,-0.3764668757364937
JPM,2023-02-09,1mo,21,130.1220245361328,116.76983155919851,122.64925772408336,129.62099886866224,136.74032664974575,144.05396966548244,121.62451934814453,-0.07243903518586414,0.28533361449007216,0.009344180641056389,74.17955700839093,-0.33861534524720965
JPM,2023-02-09,3mo,63,130.1220245361328,106.05100419336796,116.77032718327358,128.24439597622023,141.12913012431628,154.04219664963156,127.06192016601562,-0.07243903518586414,0.28533361449007216,0.009344180641056389,74.17955700839093,-0.33861534524720965
JPM,2023-02-09,6mo,126,130.1220245361328,97.10971329160036,109.98467260941251,126.09903800992149,144.1982734285678,165.4044942514123,145.23696899414062,-0.07243903518586414,0.28533361449007216,0.009344180641056389,74.17955700839093,-0.33861534524720965
JPM,2023-02-09,1yr,252,130.1220245361328,84.06070996895494,98.4165443694347,120.70104300102018,146.62412074222323,176.31858485448163,167.55059814453125,-0.07243903518586414,0.28533361449007216,0.009344180641056389,74.17955700839093,-0.33861534524720965
JPM,2023-03-13,1mo,21,121.62451934814453,109.49353664916912,114.68251681820352,121.1321368356748,128.30095083783368,134.79642237273958,120.01070404052734,0.027821273632336663,0.2779130432508156,0.009561034072998914,72.49709343861095,-0.26661748300664156
JPM,2023-03-13,3mo,63,121.62451934814453,101.61750402460278,110.64686247624438,121.30091620904142,133.8813995639643,145.93985409245866,131.68492126464844,0.027821273632336663,0.2779130432508156,0.009561034072998914,72.49709343861095,-0.26661748300664156
